drug1	drug2	Label
DB00455	DB00169	47
DB01418	DB09074	47
DB00297	DB00446	47
DB01544	DB00263	47
DB00805	DB06595	47
DB00231	DB09198	47
DB01424	DB01156	47
DB01424	DB01151	47
DB00619	DB01403	47
DB08918	DB12332	47
DB00586	DB01015	47
DB00296	DB00752	47
DB00590	DB01026	47
DB00296	DB00758	47
DB00318	DB05521	47
DB09080	DB01259	47
DB00554	DB01129	47
DB00169	DB04868	47
DB00678	DB08873	47
DB01396	DB05521	47
DB01028	DB00468	47
DB00554	DB01124	47
DB01018	DB00619	47
DB01020	DB08873	47
DB00377	DB00203	47
DB00514	DB00705	47
DB01197	DB00857	47
DB00969	DB00619	47
DB00296	DB00289	47
DB00296	DB00285	47
DB00296	DB00283	47
DB00296	DB00281	47
DB04871	DB06413	47
DB00374	DB00313	47
DB01206	DB00458	47
DB00829	DB09074	47
DB00521	DB00705	47
DB00674	DB00752	47
DB06403	DB06414	47
DB06403	DB06413	47
DB00571	DB09039	47
DB01029	DB09198	47
DB01708	DB00257	47
DB01020	DB00091	47
DB00475	DB00468	47
DB01227	DB01072	47
DB06772	DB01129	47
DB01087	DB08873	47
DB00889	DB00661	47
DB00476	DB00246	47
DB04938	DB00257	47
DB04938	DB00254	47
DB00476	DB00243	47
DB00751	DB00246	47
DB00699	DB00363	47
DB00409	DB06708	47
DB08922	DB00705	47
DB00906	DB01149	47
DB00379	DB05521	47
DB00842	DB00091	47
DB00884	DB00199	47
DB08922	DB01072	47
DB01008	DB00227	47
DB01074	DB04871	47
DB00184	DB00091	47
DB00296	DB01156	47
DB00296	DB01151	47
DB00788	DB09167	47
DB00321	DB00907	47
DB00482	DB00203	47
DB00530	DB01075	47
DB01131	DB01104	47
DB01131	DB01101	47
DB00976	DB00176	47
DB00270	DB00091	47
DB01218	DB09167	47
DB00425	DB00678	47
DB00976	DB00283	47
DB00499	DB06595	47
DB01409	DB01156	47
DB01409	DB01151	47
DB00503	DB09120	47
DB00748	DB00440	47
DB00748	DB00446	47
DB00570	DB01319	47
DB00997	DB00215	47
DB00334	DB00458	47
DB00324	DB01118	47
DB00546	DB00254	47
DB00546	DB00257	47
DB00367	DB00224	47
DB00367	DB00227	47
DB00836	DB01129	47
DB01132	DB00263	47
DB00514	DB00976	47
DB01156	DB01072	47
DB01197	DB01075	47
DB00425	DB00503	47
DB01211	DB00951	47
DB00731	DB00951	47
DB00338	DB00207	47
DB00338	DB00205	47
DB00338	DB00203	47
DB01175	DB06636	47
DB00338	DB00201	47
DB01418	DB01241	47
DB01591	DB00646	47
DB00338	DB00208	47
DB01429	DB00285	47
DB00379	DB09054	47
DB01429	DB00283	47
DB01429	DB00289	47
DB00184	DB01319	47
DB00822	DB00176	47
DB00912	DB00243	47
DB00726	DB01232	47
DB00912	DB00246	47
DB00980	DB04868	47
DB03756	DB06414	47
DB01195	DB06708	47
DB09026	DB05521	47
DB01015	DB00661	47
DB08868	DB00752	47
DB00802	DB01072	47
DB00643	DB01072	47
DB00588	DB09074	47
DB00620	DB01211	47
DB00490	DB01034	47
DB01384	DB01072	47
DB00717	DB12332	47
DB11614	DB00091	47
DB00250	DB00752	47
DB08798	DB01685	47
DB00549	DB00625	47
DB00916	DB01072	47
DB00549	DB00622	47
DB00936	DB00549	47
DB01183	DB12332	47
DB00921	DB06636	47
DB13179	DB04868	47
DB00745	DB00343	47
DB00514	DB09167	47
DB00514	DB01319	47
DB00943	DB00188	47
DB11575	DB04855	47
DB06176	DB00501	47
DB01156	DB00857	47
DB06217	DB00482	47
DB01223	DB01208	47
DB01191	DB00705	47
DB00655	DB08865	47
DB01203	DB00613	47
DB00404	DB01097	47
DB00850	DB01132	47
DB00404	DB01095	47
DB09396	DB00289	47
DB09396	DB00285	47
DB00740	DB00176	47
DB09396	DB00283	47
DB00404	DB00322	47
DB00906	DB00091	47
DB00404	DB00320	47
DB01184	DB00472	47
DB00655	DB00678	47
DB01184	DB00476	47
DB01216	DB00619	47
DB00435	DB00238	47
DB09570	DB09039	47
DB00567	DB00622	47
DB01129	DB01241	47
DB08901	DB00458	47
DB00184	DB00320	47
DB13179	DB00188	47
DB01559	DB00661	47
DB00678	DB01110	47
DB00239	DB00273	47
DB00678	DB01118	47
DB00317	DB01211	47
DB00757	DB01263	47
DB00295	DB09054	47
DB00947	DB05521	47
DB08901	DB00188	47
DB00245	DB00208	47
DB00960	DB00458	47
DB00347	DB09074	47
DB01435	DB01319	47
DB00623	DB04855	47
DB00866	DB00420	47
DB00612	DB09291	47
DB00347	DB01685	47
DB00688	DB00263	47
DB09102	DB00619	47
DB06282	DB01211	47
DB05541	DB01095	47
DB01577	DB00715	47
DB05541	DB01097	47
DB00773	DB00196	47
DB00553	DB05521	47
DB00726	DB09120	47
DB00773	DB00199	47
DB01190	DB00661	47
DB06292	DB00420	47
DB06742	DB01026	47
DB00530	DB01259	47
DB05109	DB00398	47
DB00514	DB00196	47
DB00514	DB00195	47
DB01426	DB01026	47
DB00514	DB00199	47
DB00568	DB00177	47
DB00589	DB00268	47
DB00589	DB00263	47
DB00589	DB00264	47
DB01114	DB00208	47
DB00843	DB08816	47
DB01114	DB00203	47
DB00401	DB04855	47
DB08918	DB00715	47
DB00773	DB09120	47
DB06292	DB00398	47
DB05294	DB01118	47
DB00185	DB00257	47
DB00185	DB00254	47
DB00575	DB00257	47
DB01075	DB08816	47
DB00575	DB00254	47
DB01228	DB00333	47
DB00245	DB01156	47
DB05351	DB00625	47
DB04871	DB09120	47
DB00502	DB09119	47
DB00444	DB01104	47
DB00193	DB06636	47
DB00170	DB00300	47
DB00918	DB00951	47
DB06016	DB00270	47
DB00602	DB00263	47
DB00277	DB08873	47
DB00496	DB00188	47
DB01069	DB00951	47
DB05109	DB00932	47
DB00758	DB00289	47
DB00589	DB00482	47
DB11921	DB01072	47
DB11737	DB00263	47
DB11737	DB00268	47
DB08893	DB01211	47
DB00987	DB00263	47
DB00773	DB01319	47
DB01016	DB00208	47
DB01016	DB00203	47
DB01234	DB08873	47
DB01016	DB00205	47
DB04841	DB00349	47
DB01120	DB00263	47
DB00753	DB00951	47
DB00216	DB00420	47
DB01621	DB00468	47
DB00843	DB00951	47
DB01224	DB00857	47
DB01431	DB01319	47
DB00420	DB00196	47
DB00339	DB01072	47
DB00758	DB00359	47
DB00262	DB00257	47
DB01192	DB06697	47
DB01357	DB00257	47
DB01075	DB00951	47
DB00180	DB00705	47
DB12483	DB00705	47
DB01587	DB01601	47
DB00602	DB08873	47
DB01221	DB01601	47
DB00540	DB00503	47
DB00972	DB01072	47
DB00540	DB00501	47
DB00843	DB00482	47
DB00962	DB04855	47
DB08912	DB09065	47
DB00818	DB00907	47
DB08893	DB00169	47
DB00195	DB04868	47
DB00541	DB01118	47
DB00477	DB06636	47
DB00541	DB00246	47
DB01075	DB00482	47
DB00409	DB09167	47
DB08932	DB00227	47
DB00734	DB00176	47
DB01072	DB00322	47
DB00327	DB09039	47
DB08899	DB01029	47
DB06684	DB00169	47
DB00744	DB09167	47
DB01268	DB00705	47
DB11574	DB01118	47
DB00672	DB00227	47
DB00672	DB00224	47
DB01132	DB00705	47
DB00570	DB00907	47
DB06403	DB09065	47
DB00843	DB00224	47
DB12070	DB09118	47
DB00843	DB00227	47
DB00843	DB00220	47
DB06267	DB01232	47
DB00422	DB09118	47
DB00180	DB01072	47
DB12070	DB00215	47
DB08828	DB00705	47
DB00458	DB00203	47
DB00422	DB00476	47
DB08860	DB01029	47
DB06595	DB00243	47
DB00422	DB00472	47
DB00379	DB06700	47
DB00337	DB00188	47
DB00655	DB01264	47
DB08860	DB01023	47
DB00379	DB06708	47
DB08860	DB01026	47
DB04846	DB00091	47
DB00863	DB09039	47
DB00231	DB05521	47
DB01192	DB00203	47
DB00674	DB00196	47
DB01192	DB00208	47
DB05351	DB00951	47
DB01087	DB01118	47
DB01174	DB00176	47
DB01142	DB00281	47
DB01142	DB00283	47
DB01128	DB09065	47
DB06789	DB00188	47
DB01142	DB00289	47
DB00495	DB01032	47
DB00377	DB01167	47
DB06737	DB00322	47
DB09076	DB00238	47
DB00409	DB00705	47
DB00997	DB08873	47
DB12332	DB01104	47
DB00570	DB08865	47
DB00370	DB09238	47
DB00503	DB09238	47
DB08895	DB00752	47
DB00672	DB01685	47
DB06267	DB00619	47
DB11613	DB00320	47
DB01236	DB05521	47
DB01242	DB00496	47
DB00313	DB00322	47
DB00231	DB00320	47
DB00231	DB00322	47
DB09183	DB00188	47
DB01138	DB06636	47
DB00321	DB00205	47
DB00321	DB00201	47
DB00321	DB00203	47
DB01173	DB12332	47
DB00321	DB00208	47
DB00363	DB00300	47
DB11575	DB01264	47
DB01175	DB06697	47
DB00773	DB01232	47
DB01229	DB01026	47
DB01551	DB01072	47
DB01551	DB01075	47
DB00934	DB00482	47
DB01229	DB01029	47
DB00349	DB00176	47
DB01087	DB00246	47
DB00294	DB00619	47
DB00904	DB00169	47
DB00988	DB00246	47
DB01104	DB01263	47
DB00988	DB00243	47
DB06700	DB01232	47
DB00316	DB00468	47
DB06268	DB00257	47
DB06701	DB00246	47
DB08901	DB05219	47
DB06701	DB00243	47
DB06209	DB00468	47
DB06742	DB09074	47
DB01186	DB00343	47
DB00356	DB05521	47
DB01136	DB00472	47
DB00643	DB09065	47
DB00933	DB00705	47
DB00530	DB09167	47
DB01410	DB00343	47
DB09068	DB00736	47
DB01355	DB06595	47
DB01194	DB00199	47
DB01219	DB00263	47
DB00945	DB12332	47
DB09080	DB00091	47
DB01303	DB06595	47
DB00818	DB00458	47
DB00850	DB05219	47
DB01591	DB00400	47
DB00321	DB00976	47
DB04835	DB00343	47
DB00544	DB09167	47
DB00472	DB00349	47
DB00469	DB05812	47
DB00395	DB09198	47
DB06148	DB01167	47
DB01171	DB01685	47
DB01424	DB06708	47
DB00623	DB00215	47
DB00207	DB01167	47
DB01274	DB00264	47
DB01274	DB00263	47
DB00521	DB00169	47
DB06228	DB00254	47
DB08883	DB00705	47
DB06228	DB00257	47
DB01028	DB00932	47
DB01274	DB00268	47
DB00592	DB00458	47
DB00490	DB05521	47
DB00425	DB00263	47
DB00425	DB00264	47
DB11614	DB00254	47
DB11614	DB00257	47
DB01424	DB00705	47
DB01107	DB00208	47
DB08868	DB00220	47
DB00396	DB00745	47
DB08868	DB00224	47
DB08868	DB00227	47
DB00757	DB00320	47
DB01261	DB09074	47
DB01435	DB00208	47
DB01435	DB00207	47
DB01435	DB00205	47
DB01435	DB00203	47
DB01435	DB00201	47
DB01194	DB01319	47
DB06770	DB00622	47
DB00755	DB00359	47
DB01151	DB09291	47
DB00863	DB04871	47
DB06654	DB01072	47
DB01296	DB00338	47
DB06292	DB01167	47
DB00836	DB00254	47
DB01242	DB00932	47
DB00482	DB00283	47
DB00673	DB09198	47
DB00586	DB00246	47
DB12026	DB00285	47
DB12026	DB00283	47
DB12026	DB00281	47
DB00865	DB00176	47
DB12026	DB00289	47
DB00296	DB01211	47
DB06739	DB01167	47
DB00334	DB09118	47
DB11614	DB01124	47
DB00469	DB01015	47
DB00477	DB00501	47
DB00674	DB09074	47
DB00757	DB00338	47
DB00731	DB01601	47
DB00726	DB00496	47
DB00297	DB01319	47
DB00977	DB00619	47
DB01589	DB05812	47
DB01177	DB05219	47
DB00455	DB00398	47
DB11574	DB00199	47
DB00454	DB00907	47
DB00568	DB08893	47
DB00248	DB01319	47
DB00343	DB00212	47
DB08893	DB00932	47
DB01191	DB00622	47
DB09080	DB00338	47
DB00990	DB00705	47
DB01197	DB00333	47
DB05271	DB09167	47
DB01355	DB04855	47
DB00592	DB00257	47
DB09080	DB01685	47
DB00675	DB08816	47
DB01067	DB01095	47
DB01067	DB01097	47
DB00932	DB01263	47
DB04938	DB04868	47
DB01261	DB00625	47
DB01131	DB01601	47
DB06736	DB06414	47
DB08439	DB06414	47
DB00295	DB00608	47
DB00175	DB00246	47
DB00688	DB01072	47
DB06697	DB00215	47
DB00468	DB01118	47
DB06697	DB00213	47
DB01216	DB00188	47
DB00906	DB01264	47
DB00906	DB01263	47
DB01120	DB09120	47
DB01037	DB00338	47
DB00358	DB01232	47
DB08907	DB00224	47
DB08907	DB00227	47
DB08907	DB00220	47
DB00972	DB06636	47
DB00468	DB00446	47
DB00328	DB09167	47
DB00701	DB08816	47
DB04946	DB00184	47
DB01177	DB01029	47
DB00850	DB01241	47
DB01177	DB01026	47
DB01223	DB00203	47
DB00471	DB00091	47
DB00245	DB09119	47
DB00245	DB09118	47
DB00266	DB00091	47
DB00688	DB00678	47
DB01009	DB00257	47
DB01589	DB01241	47
DB01131	DB00951	47
DB05381	DB00246	47
DB04841	DB12332	47
DB00521	DB00932	47
DB11817	DB01167	47
DB01071	DB00243	47
DB08895	DB09119	47
DB00866	DB01151	47
DB00866	DB01156	47
DB00278	DB01167	47
DB00370	DB00359	47
DB00584	DB01072	47
DB00461	DB09120	47
DB00889	DB00496	47
DB00379	DB00582	47
DB01274	DB08893	47
DB01156	DB00263	47
DB09570	DB00736	47
DB06772	DB00176	47
DB00768	DB00263	47
DB00851	DB09198	47
DB00724	DB01264	47
DB00307	DB01124	47
DB00724	DB01263	47
DB00440	DB00582	47
DB00925	DB00976	47
DB05381	DB00619	47
DB00248	DB09074	47
DB01234	DB00705	47
DB06772	DB00289	47
DB06772	DB00283	47
DB00338	DB00501	47
DB01248	DB01601	47
DB06772	DB00285	47
DB00333	DB00496	47
DB00768	DB00199	47
DB00990	DB00289	47
DB00990	DB00285	47
DB00990	DB00283	47
DB00768	DB00196	47
DB00567	DB00195	47
DB00567	DB00196	47
DB11828	DB00661	47
DB00567	DB00199	47
DB00490	DB00220	47
DB00356	DB00277	47
DB00490	DB00224	47
DB01466	DB00176	47
DB01621	DB00705	47
DB00866	DB00208	47
DB01159	DB06697	47
DB00567	DB04868	47
DB00444	DB00176	47
DB00546	DB00199	47
DB01228	DB09118	47
DB00546	DB00196	47
DB00246	DB01026	47
DB01132	DB00544	47
DB00398	DB09074	47
DB05676	DB01118	47
DB01156	DB01132	47
DB08860	DB09167	47
DB00409	DB00363	47
DB00656	DB00496	47
DB00169	DB00343	47
DB00773	DB00220	47
DB11921	DB00220	47
DB11921	DB00227	47
DB00773	DB00227	47
DB00773	DB00224	47
DB11921	DB00224	47
DB01065	DB00322	47
DB05109	DB00440	47
DB01216	DB01601	47
DB01132	DB00091	47
DB00850	DB00188	47
DB09297	DB01026	47
DB00778	DB09065	47
DB00568	DB00224	47
DB00502	DB00619	47
DB00455	DB01259	47
DB06739	DB04855	47
DB01559	DB00257	47
DB01559	DB00254	47
DB06605	DB01124	47
DB08893	DB04871	47
DB08865	DB00283	47
DB01008	DB00343	47
DB00295	DB00715	47
DB08901	DB01685	47
DB00250	DB08873	47
DB06739	DB00359	47
DB01074	DB00246	47
DB00333	DB00908	47
DB01074	DB00243	47
DB00334	DB00752	47
DB00850	DB00458	47
DB11614	DB00752	47
DB01200	DB00196	47
DB00864	DB01110	47
DB00396	DB09120	47
DB00343	DB11586	47
DB00239	DB00338	47
DB00864	DB01118	47
DB00312	DB00501	47
DB00814	DB01118	47
DB01065	DB00582	47
DB00315	DB12332	47
DB00570	DB01211	47
DB00936	DB00468	47
DB01041	DB06290	47
DB00495	DB01101	47
DB01591	DB09074	47
DB00757	DB05219	47
DB01628	DB01149	47
DB00404	DB09167	47
DB00317	DB01026	47
DB00543	DB08893	47
DB00514	DB01129	47
DB00514	DB01124	47
DB00327	DB01012	47
DB00327	DB01015	47
DB01426	DB00238	47
DB01104	DB01118	47
DB00454	DB09198	47
DB06176	DB00338	47
DB00295	DB01211	47
DB01171	DB00091	47
DB00589	DB01075	47
DB00468	DB01101	47
DB08895	DB00227	47
DB01195	DB00476	47
DB01195	DB00472	47
DB09123	DB00196	47
DB09123	DB00199	47
DB00869	DB00398	47
DB00540	DB09074	47
DB00540	DB00322	47
DB08901	DB00227	47
DB01050	DB00257	47
DB01175	DB12332	47
DB01418	DB00224	47
DB05541	DB01118	47
DB00690	DB00227	47
DB00690	DB00224	47
DB00690	DB00220	47
DB01410	DB00188	47
DB00339	DB00263	47
DB01418	DB00220	47
DB00339	DB00268	47
DB00216	DB00313	47
DB00444	DB00951	47
DB05109	DB00215	47
DB05109	DB00213	47
DB09166	DB00091	47
DB00295	DB00169	47
DB01577	DB00502	47
DB01577	DB00503	47
DB00617	DB06636	47
DB00829	DB00281	47
DB00622	DB06595	47
DB06216	DB00246	47
DB00347	DB00343	47
DB06708	DB00257	47
DB00924	DB08873	47
DB04930	DB00343	47
DB06292	DB00215	47
DB00665	DB01171	47
DB00316	DB00705	47
DB06414	DB00246	47
DB00502	DB01012	47
DB01229	DB00208	47
DB01229	DB00203	47
DB09570	DB00472	47
DB00327	DB00857	47
DB01229	DB00205	47
DB09570	DB00476	47
DB01242	DB01601	47
DB00297	DB09119	47
DB00637	DB00363	47
DB00988	DB01029	47
DB09026	DB00220	47
DB00701	DB09238	47
DB09026	DB00224	47
DB00988	DB01026	47
DB09026	DB00227	47
DB01097	DB00176	47
DB01097	DB00177	47
DB01623	DB00300	47
DB08906	DB00582	47
DB00343	DB01321	47
DB00339	DB01601	47
DB06595	DB08873	47
DB01628	DB00951	47
DB00588	DB00270	47
DB05246	DB00705	47
DB00734	DB01104	47
DB06684	DB01156	47
DB11574	DB00705	47
DB01060	DB00208	47
DB01036	DB00257	47
DB01036	DB00254	47
DB01393	DB01072	47
DB00568	DB01075	47
DB13874	DB00263	47
DB00203	DB05219	47
DB08873	DB00976	47
DB13874	DB00268	47
DB08893	DB01403	47
DB00468	DB08865	47
DB00972	DB09039	47
DB00263	DB06595	47
DB00446	DB00176	47
DB00708	DB00270	47
DB00818	DB04572	47
DB11915	DB00268	47
DB11915	DB00264	47
DB01110	DB00320	47
DB11915	DB00263	47
DB00201	DB00398	47
DB00180	DB01319	47
DB00863	DB01171	47
DB00373	DB00208	47
DB01062	DB00227	47
DB05381	DB04868	47
DB00586	DB00736	47
DB00297	DB00199	47
DB00184	DB01156	47
DB06777	DB00270	47
DB11915	DB00199	47
DB00726	DB08873	47
DB00969	DB00338	47
DB06209	DB00205	47
DB06209	DB00208	47
DB11915	DB00195	47
DB11915	DB00196	47
DB12267	DB01685	47
DB01029	DB00227	47
DB01029	DB00224	47
DB00543	DB00283	47
DB00471	DB00625	47
DB05541	DB00501	47
DB00977	DB08865	47
DB00543	DB00289	47
DB00185	DB06595	47
DB00717	DB00203	47
DB00808	DB00619	47
DB00343	DB00584	47
DB00334	DB00257	47
DB00343	DB00582	47
DB00717	DB00208	47
DB00426	DB01264	47
DB00248	DB04855	47
DB04898	DB00544	47
DB00426	DB01263	47
DB04898	DB00549	47
DB05351	DB00215	47
DB00440	DB01015	47
DB05351	DB00213	47
DB00201	DB00932	47
DB00987	DB00976	47
DB01058	DB06636	47
DB01392	DB00503	47
DB12332	DB00176	47
DB09291	DB01026	47
DB00503	DB00224	47
DB12161	DB00246	47
DB00503	DB00220	47
DB12161	DB00243	47
DB01098	DB00213	47
DB00277	DB00359	47
DB01098	DB00215	47
DB00734	DB12332	47
DB00195	DB00215	47
DB06697	DB00582	47
DB11915	DB06697	47
DB00477	DB08873	47
DB06712	DB08865	47
DB11575	DB08873	47
DB01355	DB01171	47
DB01177	DB00177	47
DB01177	DB00176	47
DB00347	DB09054	47
DB01115	DB09198	47
DB01058	DB01118	47
DB00540	DB08893	47
DB00978	DB00281	47
DB00755	DB01095	47
DB06789	DB00227	47
DB06789	DB00224	47
DB00531	DB00199	47
DB00540	DB08816	47
DB00972	DB00208	47
DB00972	DB00207	47
DB06701	DB01012	47
DB00972	DB00205	47
DB09183	DB04855	47
DB00972	DB00201	47
DB00358	DB12332	47
DB00281	DB00705	47
DB00266	DB00705	47
DB00280	DB08865	47
DB01576	DB04868	47
DB04920	DB04855	47
DB06403	DB00446	47
DB04898	DB05219	47
DB01142	DB00091	47
DB00318	DB00270	47
DB00918	DB00736	47
DB00499	DB00263	47
DB00835	DB00482	47
DB00499	DB00268	47
DB11581	DB00320	47
DB12161	DB09039	47
DB00738	DB00625	47
DB00346	DB00243	47
DB00972	DB00359	47
DB00669	DB09245	47
DB00356	DB01104	47
DB06148	DB04868	47
DB01197	DB09039	47
DB00836	DB04855	47
DB00531	DB01132	47
DB00706	DB04855	47
DB01067	DB00343	47
DB01131	DB00283	47
DB01131	DB00281	47
DB00356	DB00477	47
DB01131	DB00285	47
DB00592	DB01601	47
DB01131	DB00289	47
DB00943	DB04868	47
DB00571	DB00619	47
DB08860	DB00257	47
DB00571	DB00613	47
DB00317	DB00608	47
DB00281	DB06708	47
DB09048	DB09198	47
DB01128	DB04855	47
DB00402	DB00398	47
DB01191	DB00195	47
DB01068	DB00246	47
DB00503	DB00951	47
DB01085	DB01167	47
DB01068	DB00243	47
DB01131	DB00752	47
DB01124	DB01259	47
DB00911	DB06636	47
DB00604	DB00678	47
DB00635	DB12332	47
DB09068	DB00502	47
DB09068	DB00501	47
DB00969	DB06414	47
DB00978	DB09120	47
DB01194	DB04868	47
DB00924	DB01211	47
DB06654	DB00263	47
DB00234	DB01072	47
DB01319	DB00254	47
DB09297	DB09054	47
DB00497	DB00857	47
DB00549	DB01101	47
DB00921	DB00320	47
DB00921	DB00322	47
DB06155	DB08873	47
DB00481	DB01167	47
DB00455	DB01097	47
DB01319	DB00257	47
DB00549	DB00270	47
DB00947	DB01601	47
DB00184	DB09119	47
DB06772	DB04855	47
DB06589	DB00195	47
DB01242	DB06414	47
DB00701	DB00440	47
DB01224	DB00496	47
DB00425	DB00188	47
DB00402	DB00976	47
DB00637	DB00608	47
DB11614	DB00199	47
DB00863	DB00349	47
DB00850	DB00619	47
DB06738	DB00213	47
DB00814	DB12332	47
DB11614	DB00196	47
DB00829	DB00188	47
DB06738	DB00215	47
DB00918	DB06595	47
DB06292	DB01319	47
DB06204	DB00482	47
DB00731	DB00458	47
DB00651	DB00817	47
DB00396	DB06708	47
DB00454	DB00208	47
DB06287	DB00270	47
DB00553	DB01118	47
DB00755	DB00257	47
DB00454	DB00203	47
DB00755	DB00254	47
DB00313	DB00176	47
DB01015	DB00169	47
DB05271	DB00343	47
DB09291	DB01167	47
DB00959	DB00254	47
DB00959	DB00257	47
DB06203	DB09167	47
DB01085	DB00343	47
DB12332	DB06636	47
DB11560	DB00678	47
DB00332	DB00343	47
DB06267	DB00188	47
DB09570	DB00482	47
DB01349	DB00203	47
DB00636	DB08865	47
DB01349	DB00208	47
DB00185	DB01242	47
DB00266	DB09167	47
DB06144	DB01075	47
DB06144	DB01072	47
DB00726	DB00359	47
DB01216	DB00224	47
DB00381	DB00263	47
DB04938	DB00398	47
DB00617	DB00285	47
DB00617	DB00283	47
DB00814	DB09198	47
DB00617	DB00289	47
DB04946	DB06708	47
DB00201	DB01124	47
DB00870	DB01124	47
DB00454	DB01156	47
DB00276	DB00208	47
DB00788	DB01095	47
DB00788	DB01097	47
DB01173	DB09065	47
DB00773	DB01167	47
DB00201	DB01129	47
DB00433	DB00951	47
DB00316	DB05219	47
DB12026	DB09065	47
DB00343	DB08873	47
DB00906	DB09074	47
DB00554	DB00169	47
DB11560	DB01101	47
DB00490	DB04868	47
DB00656	DB09291	47
DB00960	DB00333	47
DB01095	DB00398	47
DB00185	DB00199	47
DB00185	DB00195	47
DB00328	DB06595	47
DB00356	DB09074	47
DB00869	DB01601	47
DB00568	DB00503	47
DB00568	DB00502	47
DB01227	DB00257	47
DB00458	DB00736	47
DB00295	DB00412	47
DB01248	DB01127	47
DB01409	DB08873	47
DB09570	DB00675	47
DB03128	DB00608	47
DB04743	DB00199	47
DB00184	DB00254	47
DB09570	DB00679	47
DB09570	DB00678	47
DB01129	DB00270	47
DB01129	DB00273	47
DB01297	DB00608	47
DB00805	DB00608	47
DB08922	DB00496	47
DB00696	DB04868	47
DB08875	DB01685	47
DB01595	DB01232	47
DB04574	DB01072	47
DB01020	DB00257	47
DB01020	DB00254	47
DB00371	DB00257	47
DB00224	DB00283	47
DB06772	DB00320	47
DB00997	DB12332	47
DB01129	DB00188	47
DB01235	DB04855	47
DB01114	DB01232	47
DB00343	DB09054	47
DB01132	DB00976	47
DB01198	DB00549	47
DB00969	DB09238	47
DB04572	DB00285	47
DB01198	DB00544	47
DB04572	DB00283	47
DB00514	DB00268	47
DB00822	DB00270	47
DB01105	DB08873	47
DB01240	DB00625	47
DB01240	DB00622	47
DB01173	DB01118	47
DB11828	DB09054	47
DB00553	DB08865	47
DB00231	DB00224	47
DB05812	DB06636	47
DB00980	DB00257	47
DB00980	DB00254	47
DB00866	DB06708	47
DB00712	DB00705	47
DB00546	DB09054	47
DB00214	DB08816	47
DB04841	DB00715	47
DB01041	DB09198	47
DB01095	DB01118	47
DB00170	DB00379	47
DB00997	DB00907	47
DB06414	DB01029	47
DB06287	DB00246	47
DB00997	DB00908	47
DB08816	DB00705	47
DB00370	DB00678	47
DB00201	DB01601	47
DB00921	DB01156	47
DB01132	DB00359	47
DB09570	DB01232	47
DB01244	DB01242	47
DB12070	DB09167	47
DB01008	DB01072	47
DB00991	DB00176	47
DB00991	DB00177	47
DB01429	DB01242	47
DB08873	DB00196	47
DB01173	DB00243	47
DB00540	DB00951	47
DB00570	DB00283	47
DB00570	DB00285	47
DB00570	DB00289	47
DB00334	DB00496	47
DB06777	DB00705	47
DB00277	DB01241	47
DB00911	DB01118	47
DB00933	DB12332	47
DB00440	DB00705	47
DB00907	DB09074	47
DB00870	DB00313	47
DB01002	DB00285	47
DB01002	DB00281	47
DB01074	DB00458	47
DB01002	DB00283	47
DB00390	DB00320	47
DB01223	DB00257	47
DB01223	DB00254	47
DB00925	DB00224	47
DB08798	DB08816	47
DB02709	DB00176	47
DB00945	DB00338	47
DB06739	DB00257	47
DB00495	DB01241	47
DB08899	DB00263	47
DB06739	DB00254	47
DB00420	DB00277	47
DB01628	DB00420	47
DB00320	DB09054	47
DB00091	DB00646	47
DB01206	DB00705	47
DB01296	DB00220	47
DB00864	DB01099	47
DB00248	DB09054	47
DB09102	DB00320	47
DB00740	DB00268	47
DB00864	DB01091	47
DB00356	DB00263	47
DB01184	DB01012	47
DB00531	DB00468	47
DB00276	DB00477	47
DB00276	DB00476	47
DB01384	DB01149	47
DB01131	DB00359	47
DB00655	DB00343	47
DB05039	DB01072	47
DB09183	DB00333	47
DB00705	DB00270	47
DB01551	DB04871	47
DB00390	DB00582	47
DB01195	DB00208	47
DB01023	DB00188	47
DB00195	DB00482	47
DB00690	DB00582	47
DB00216	DB06595	47
DB00706	DB00289	47
DB00281	DB01012	47
DB08906	DB09054	47
DB00281	DB01015	47
DB00216	DB06708	47
DB00624	DB01151	47
DB01065	DB00501	47
DB00665	DB12332	47
DB05541	DB00472	47
DB00624	DB00203	47
DB00744	DB01211	47
DB00624	DB00205	47
DB00622	DB00715	47
DB00624	DB00208	47
DB09068	DB00184	47
DB12161	DB01026	47
DB09082	DB00320	47
DB06595	DB01149	47
DB01171	DB01012	47
DB01268	DB06820	47
DB00814	DB06414	47
DB00706	DB00283	47
DB00918	DB00243	47
DB00918	DB00246	47
DB00866	DB06697	47
DB01074	DB01601	47
DB00773	DB04855	47
DB06176	DB00169	47
DB01050	DB00359	47
DB00234	DB09065	47
DB00589	DB00176	47
DB01577	DB00333	47
DB00748	DB09238	47
DB00863	DB12332	47
DB00540	DB00177	47
DB01559	DB04868	47
DB04868	DB04855	47
DB08883	DB00243	47
DB00784	DB00544	47
DB06700	DB01601	47
DB09555	DB00215	47
DB00784	DB00549	47
DB01128	DB00176	47
DB00208	DB00705	47
DB00425	DB12332	47
DB00261	DB00257	47
DB01621	DB00951	47
DB01114	DB00622	47
DB05271	DB12332	47
DB08828	DB06414	47
DB00543	DB00857	47
DB01242	DB01156	47
DB00294	DB00176	47
